iter	Logloss
0	0.6915293397
1	0.6895931164
2	0.6868175183
3	0.6852591668
4	0.6828894068
5	0.6813800762
6	0.6792255806
7	0.6774638548
8	0.6744555381
9	0.6725207034
10	0.6703077654
11	0.6686467502
12	0.6666951998
13	0.6645936273
14	0.6626180032
15	0.6603371458
16	0.6575003111
17	0.6561645426
18	0.6551873208
19	0.6530066038
20	0.6513162208
21	0.648934502
22	0.647113892
23	0.6452352977
24	0.6438779149
25	0.6419899805
26	0.6401860483
27	0.6386874464
28	0.6372275062
29	0.6358545553
30	0.6346317195
31	0.6326496347
32	0.6308252752
33	0.629927965
34	0.6288764384
35	0.6270128459
36	0.6254717401
37	0.6242602868
38	0.6228094146
39	0.621784685
40	0.6201203369
41	0.618755596
42	0.6174114572
43	0.6161035305
44	0.6153360101
45	0.6136539384
46	0.6124292407
47	0.6110979059
48	0.6099400399
49	0.6088756453
50	0.6072633254
51	0.6059625946
52	0.6044667131
53	0.6033078397
54	0.60192168
55	0.6000680046
56	0.5993633865
57	0.5981872609
58	0.5968404792
59	0.5957409229
60	0.5941367352
61	0.5930606787
62	0.591344264
63	0.5905237963
64	0.5894560565
65	0.5887490204
66	0.5873593217
67	0.5866219212
68	0.5856920261
69	0.5849465014
70	0.5837914226
71	0.5827607943
72	0.5810704486
73	0.5799990175
74	0.5789441541
75	0.5772191697
76	0.5762211327
77	0.5746262267
78	0.5737660084
79	0.5723639045
80	0.5713283433
81	0.5700147348
82	0.5688610398
83	0.5674775221
84	0.5667720524
85	0.5657703937
86	0.5648586476
87	0.564504845
88	0.5634317479
89	0.5619691445
90	0.5610972262
91	0.5601940204
92	0.5590138004
93	0.5580529139
94	0.5569652789
95	0.5557270082
96	0.5551600063
97	0.554441045
98	0.5534603115
99	0.5528427917
100	0.5521945951
101	0.5516465861
102	0.5507349152
103	0.5497546131
104	0.5492143031
105	0.5484371209
106	0.5474146269
107	0.54636403
108	0.5457534769
109	0.5451902814
110	0.5440420609
111	0.543090948
112	0.5427695325
113	0.5419571333
114	0.5415493966
115	0.5404749476
116	0.5395582826
117	0.5386298138
118	0.5382095985
119	0.5371292685
120	0.5363824867
121	0.535935676
122	0.5351303761
123	0.533606011
124	0.5327107166
125	0.5319852377
126	0.5310859624
127	0.5307142244
128	0.5301955675
129	0.5297680944
130	0.5292788001
131	0.5285355038
132	0.5279265094
133	0.5269755681
134	0.5262801164
135	0.5251511192
136	0.5243221007
137	0.5236204408
138	0.5227963808
139	0.5220278507
140	0.5212645001
141	0.5206506485
142	0.5202665769
143	0.5195730617
144	0.5187443764
145	0.5181401386
146	0.5173647702
147	0.5169079818
148	0.5161492281
149	0.515356426
150	0.5145050879
151	0.5138845664
152	0.5130335496
153	0.5123848143
154	0.5118907169
155	0.5114676359
156	0.5112962002
157	0.5107051506
158	0.5098615376
159	0.5089165195
160	0.5082093373
161	0.5076532536
162	0.5069723815
163	0.506428946
164	0.505887438
165	0.505279184
166	0.504584279
167	0.5041703009
168	0.5034571551
