iter	Passed	Remaining
0	3	3031
1	5	2546
2	10	3483
3	13	3339
4	16	3253
5	19	3170
6	21	3112
7	24	3088
8	26	2889
9	28	2865
10	31	2846
11	34	2844
12	37	2826
13	39	2816
14	42	2815
15	45	2808
16	47	2754
17	50	2745
18	53	2740
19	55	2734
20	58	2729
21	61	2721
22	63	2713
23	65	2676
24	68	2671
25	71	2666
26	73	2662
27	76	2658
28	79	2655
29	81	2651
30	84	2648
31	87	2647
32	90	2644
33	92	2641
34	95	2644
35	98	2641
36	101	2639
37	104	2635
38	106	2614
39	108	2611
40	111	2608
41	114	2608
42	117	2608
43	120	2607
44	122	2604
45	125	2601
46	128	2598
47	130	2597
48	133	2595
49	136	2594
50	139	2591
51	141	2588
52	144	2585
53	147	2583
54	150	2579
55	152	2575
56	155	2573
57	158	2570
58	160	2567
59	166	2615
60	170	2631
61	180	2725
62	184	2741
63	191	2795
64	196	2829
65	200	2837
66	203	2831
67	205	2813
68	208	2808
69	210	2803
70	213	2796
71	216	2789
72	217	2767
73	220	2765
74	223	2758
75	226	2752
76	229	2745
77	231	2739
78	234	2733
79	237	2728
80	239	2722
81	242	2717
82	245	2711
83	248	2705
84	250	2699
85	253	2693
86	256	2687
87	258	2682
88	261	2676
89	264	2671
90	266	2666
91	269	2660
92	272	2655
93	275	2655
94	278	2651
95	281	2647
96	283	2642
97	286	2638
98	289	2633
99	292	2629
100	294	2625
101	297	2621
102	300	2616
103	303	2612
104	305	2607
105	308	2604
106	311	2600
107	314	2596
108	318	2599
109	320	2596
110	323	2592
111	326	2587
112	328	2577
113	331	2573
114	333	2569
115	336	2564
116	339	2560
117	341	2555
118	344	2551
119	347	2546
120	349	2542
121	352	2538
122	355	2533
123	359	2542
124	362	2539
125	365	2535
126	368	2531
127	369	2519
128	372	2514
129	375	2510
130	377	2506
131	380	2501
132	383	2497
133	385	2493
134	388	2490
135	391	2486
136	394	2483
137	396	2479
138	399	2475
139	402	2471
140	405	2467
141	407	2463
142	410	2459
143	413	2455
144	415	2451
145	418	2447
146	421	2443
147	423	2440
148	426	2436
149	429	2432
150	432	2428
151	434	2425
152	437	2421
153	440	2417
154	442	2414
155	445	2410
156	448	2407
157	450	2403
158	453	2399
159	456	2396
160	459	2393
161	462	2390
162	464	2386
163	467	2383
164	470	2379
165	473	2381
166	475	2372
167	478	2369
168	481	2366
169	483	2362
170	487	2361
171	489	2358
172	492	2354
173	495	2351
174	497	2347
175	500	2343
176	502	2334
177	504	2330
178	507	2326
179	509	2323
180	512	2320
181	515	2316
182	518	2313
183	521	2311
184	524	2308
185	526	2305
186	529	2301
187	532	2298
188	534	2295
189	537	2292
190	540	2289
191	543	2285
192	545	2282
193	548	2279
194	551	2277
195	554	2274
196	557	2270
197	559	2267
198	562	2263
199	565	2260
200	567	2256
201	570	2253
202	573	2249
203	576	2247
204	578	2244
205	581	2241
206	584	2239
207	587	2235
208	589	2232
209	592	2229
210	596	2230
211	599	2228
212	602	2224
213	604	2221
214	607	2218
215	610	2215
216	613	2212
217	615	2209
218	618	2205
219	621	2202
220	624	2199
221	626	2196
222	629	2192
223	632	2190
224	634	2186
225	637	2183
226	640	2179
227	642	2176
228	645	2173
229	648	2169
230	650	2166
231	653	2163
232	656	2159
233	658	2156
234	661	2153
235	665	2154
236	668	2152
237	671	2149
238	674	2147
239	677	2144
240	679	2141
241	682	2138
242	685	2135
243	688	2132
244	690	2128
245	693	2125
246	696	2122
247	698	2119
248	701	2116
249	704	2113
250	707	2110
251	709	2107
252	711	2101
253	714	2098
254	717	2095
255	719	2092
256	722	2089
257	725	2086
258	728	2083
259	730	2080
260	733	2076
261	736	2073
262	738	2070
263	741	2067
264	744	2063
265	746	2060
266	749	2057
267	752	2054
268	754	2050
269	757	2047
270	760	2044
271	762	2041
272	765	2038
273	768	2035
274	770	2032
275	773	2029
276	776	2026
277	779	2023
278	782	2020
279	784	2017
280	789	2019
281	794	2021
282	796	2019
283	799	2016
284	802	2013
285	805	2010
286	808	2007
287	810	2004
288	813	2001
289	816	1998
290	819	1995
291	822	1993
292	824	1990
293	827	1987
294	830	1984
295	833	1981
296	835	1978
297	838	1975
298	841	1972
299	843	1969
300	846	1966
301	849	1963
302	852	1960
303	854	1957
304	857	1954
305	860	1951
306	863	1948
307	865	1945
308	868	1942
309	871	1940
310	874	1937
311	877	1934
312	880	1932
313	883	1929
314	886	1926
315	888	1924
316	891	1921
317	894	1918
318	897	1915
319	900	1912
320	902	1909
321	905	1906
322	908	1903
323	911	1900
324	913	1897
325	916	1895
326	919	1892
327	922	1889
328	925	1886
329	927	1884
330	930	1881
331	933	1878
332	936	1875
333	939	1872
334	941	1869
335	944	1866
336	947	1863
337	950	1861
338	953	1858
339	955	1855
340	958	1852
341	961	1849
342	964	1846
343	967	1844
344	969	1841
345	973	1839
346	976	1837
347	979	1834
348	982	1833
349	986	1832
350	989	1830
351	992	1827
352	995	1824
353	998	1822
354	1001	1819
355	1004	1816
356	1006	1813
357	1009	1810
358	1012	1807
359	1014	1804
360	1017	1801
361	1020	1798
362	1023	1795
363	1025	1792
364	1028	1789
365	1031	1786
366	1033	1783
367	1036	1780
368	1039	1777
369	1041	1774
370	1044	1771
371	1047	1768
372	1050	1765
373	1052	1762
374	1055	1759
375	1058	1756
376	1060	1753
377	1063	1750
