project_name,phase,build_type,min_area_transformed_to_sqft,max_area_transformed_to_sqft,mean_sqft,min_area_transformed_to_sqm,max_area_transformed_to_sqm
HORIZON HILLS,5C,Bungalow,6369.22,6687.94,6528.58,591.71964566,621.32968982
HORIZON HILLS,7C,Bungalow,5696.69,5696.69,5696.69,529.23959107,529.23959107
HORIZON HILLS,1C2,Bungalow,5133,5305,5219,476.871099,492.850415
BANDAR BOTANIC,22A,Bungalow,6941,7152,7046.5,644.839723,664.442256
BANDAR BOTANIC,22B,Bungalow,7152,7386,7269,664.442256,686.181558
BANDAR BOTANIC,23B,Bungalow,4699,4837,4768,436.551197,449.371811
BANDAR BOTANIC,25A,Bungalow,6941,7152,7046.5,644.839723,664.442256
HORIZON HILLS,2B2,Bungalow,4864,4864,4864,451.880192,451.880192
HORIZON HILLS,2B4,Bungalow,5099,9168.15,7133.575,473.712397,851.74863944999993
HORIZON HILLS,2B8,Bungalow,4896.23,5214.13,5055.18,454.87445568999993,484.40831939000003
HORIZON HILLS,2C5,Bungalow,5927.91,6795.38,6361.645,550.72062273,631.31118814
HORIZON HILLS,2C6,Bungalow,5608.11,6414.36,6011.235,521.01024333,595.91328707999992
HORIZON HILLS,2C7,Bungalow,6304.22,6304.22,6304.22,585.68095066,585.68095066
BANDAR BOTANIC,16B4,Bungalow,4581,4581,4581,425.588643,425.588643
HORIZON HILLS,2B1A,Bungalow,5214.13,5214.13,5214.13,484.40831939000003,484.40831939000003
HORIZON HILLS,2B3B,Bungalow,5326,5445,5385.5,494.801378,505.856835
HORIZON HILLS,2B3C,Bungalow,4864,5445,5154.5,451.880192,505.856835
HORIZON HILLS,2B4D,Bungalow,5099,5218,5158.5,473.712397,484.767854
HORIZON HILLS,2B5A,Bungalow,5130.19,5130.19,5130.19,476.61004156999996,476.61004156999996
HORIZON HILLS,2B5B,Bungalow,4541.08,5130.19,4835.635,421.87995524,476.61004156999996
HORIZON HILLS,2B6A,Bungalow,4888,4888,4888,454.109864,454.109864
HORIZON HILLS,2B6B,Bungalow,4855,4888,4871.5,451.044065,454.109864
HORIZON HILLS,2C4A,Bungalow,5608.11,5863.33,5735.7199999999993,521.01024333,544.72094699
HORIZON HILLS,2C4B,Bungalow,5457.54,6784.81,6121.175,507.02183862,630.32920343
KOTA KEMUNING,RP2K,Bungalow,4610,4925,4767.5,428.28283,457.547275
JADE HILLS,1A-RS,Bungalow,5249,5249,5249,487.647847,487.647847
JADE HILLS,5A-RS,Bungalow,6737.986122,6738,6737.993061,625.979124692166,625.980414
JADE HILLS,5B-RS,Bungalow,4886.8106,4888,4887.4053,453.9993651718,454.109864
VALENCIA,HCP5E,Bungalow,5037.828117,5279.69295,5158.7605335,468.029345553651,490.49931413384996
