contact_annual_income,clean_contact_annual_income,count,map_annual_income
RM50001 - RM100000,RM50001 - RM100000,,RM50001 - RM100000
> RM 100000,> RM 100000,,ABOVE RM100000
6) Above 8000,6) ABOVE 8000,,ABOVE RM100000
RM100001 - RM20000,RM100001 - RM20000,,ABOVE RM100000
RM20001 - RM50000,RM20001 - RM50000,,BELOW RM50000
RM5000 - RM10000,RM5000 - RM10000,,BELOW RM50000
5) From 6000.01 To 8000.00,5) FROM 6000.01 TO 8000.00,,RM50001 - RM100000
4) From 4000.01 To 6000.00,4) FROM 4000.01 TO 6000.00,,BELOW RM50000
> RM100000,> RM100000,,ABOVE RM100000
< RM5000,< RM5000,,BELOW RM50000
3) From 2000.01 To 4000.00,3) FROM 2000.01 TO 4000.00,,BELOW RM50000
2) From 1000.01 To 2000.00,2) FROM 1000.01 TO 2000.00,,BELOW RM50000
