contact_city,clean_city,count,map_city_tier1
AMPANG,AMPANG,49.0,AMPANG
"AMPANG,","AMPANG,",5.0,AMPANG
AMPANG JAYA,AMPANG JAYA,1.0,AMPANG
PANDAN JAYA,PANDAN JAYA,1.0,AMPANG
CHERAS,CHERAS,64.0,CHERAS
BATU 9 CHERAS,BATU 9 CHERAS,6.0,CHERAS
BALAKONG,BALAKONG,4.0,CHERAS
CHERAS KUALA LUMPUR,CHERAS KUALA LUMPUR,4.0,CHERAS
PANDAN PERDANA,PANDAN PERDANA,2.0,CHERAS
BANDAR DAMAI PERDANA,BANDAR DAMAI PERDANA,1.0,CHERAS
"BANDAR TUN RAZAK, SERI PERMAISURI","BANDAR TUN RAZAK, SERI PERMAISURI",1.0,CHERAS
"BATU 9 CHERAS,","BATU 9 CHERAS,",1.0,CHERAS
BUKIT MANDARINA,BUKIT MANDARINA,1.0,CHERAS
"CHERAS,","CHERAS,",1.0,CHERAS
CYBERJAYA,CYBERJAYA,69.0,CYBERJAYA
CYBERSOUTH,CYBERSOUTH,3.0,CYBERJAYA
CBYERJAYA,CBYERJAYA,1.0,CYBERJAYA
BATU CAVES,BATU CAVES,79.0,GOMBAK
"BATU CAVES,","BATU CAVES,",17.0,GOMBAK
SELAYANG,SELAYANG,7.0,GOMBAK
KUANG,KUANG,5.0,GOMBAK
BATU CAVE,BATU CAVE,3.0,GOMBAK
GOMBAK,GOMBAK,2.0,GOMBAK
BATU ARANG,BATU ARANG,1.0,GOMBAK
BT CAVES,BT CAVES,1.0,GOMBAK
KUNDANG,KUNDANG,1.0,GOMBAK
BANDAR BARU BANGI,BANDAR BARU BANGI,9.0,HULU LANGAT
BANGI,BANGI,5.0,HULU LANGAT
BANDAR PUNCAK ALAM,BANDAR PUNCAK ALAM,6.0,HULU/KUALA SELANGOR
KUALA SELANGOR,KUALA SELANGOR,5.0,HULU/KUALA SELANGOR
TANJONG KARANG,TANJONG KARANG,5.0,HULU/KUALA SELANGOR
SERENDAH,SERENDAH,4.0,HULU/KUALA SELANGOR
KUALA KUBU BHARU,KUALA KUBU BHARU,3.0,HULU/KUALA SELANGOR
JERAM,JERAM,3.0,HULU/KUALA SELANGOR
SUNGAI BESAR,SUNGAI BESAR,3.0,HULU/KUALA SELANGOR
BATANG KALI,BATANG KALI,2.0,HULU/KUALA SELANGOR
RASA,RASA,2.0,HULU/KUALA SELANGOR
"BANDAR PUNCAK ALAM,","BANDAR PUNCAK ALAM,",2.0,HULU/KUALA SELANGOR
SEKINCHAN,SEKINCHAN,2.0,HULU/KUALA SELANGOR
SABAK BERNAM,SABAK BERNAM,2.0,HULU/KUALA SELANGOR
ULU YAM BARU,ULU YAM BARU,1.0,HULU/KUALA SELANGOR
"KUALA SELANGOR,","KUALA SELANGOR,",1.0,HULU/KUALA SELANGOR
"SEKINCHAN,","SEKINCHAN,",1.0,HULU/KUALA SELANGOR
"TANJONG KARANG,","TANJONG KARANG,",1.0,HULU/KUALA SELANGOR
TANJUNG KARANG,TANJUNG KARANG,1.0,HULU/KUALA SELANGOR
JOHOR,JOHOR,21.0,JOHOR
PONTIAN,PONTIAN,19.0,JOHOR
KLUANG,KLUANG,17.0,JOHOR
MUAR,MUAR,14.0,JOHOR
BATU PAHAT,BATU PAHAT,9.0,JOHOR
