financier1_name,clean_financier1_name,count,map_financier1_name
AFFIN BANK BERHAD,AFFIN BANK BERHAD,26.0,AFFIN BANK
AFFIN ISLAMIC BANK BERHAD,AFFIN ISLAMIC BANK BERHAD,6.0,AFFIN BANK
ALLIANCE BANK MALAYSIA BERHAD,ALLIANCE BANK MALAYSIA BERHAD,169.0,ALLIANCE BANK
ALLIANCE ISLAMIC BANK BERHAD,ALLIANCE ISLAMIC BANK BERHAD,28.0,ALLIANCE BANK
AMBANK (M) BERHAD,AMBANK (M) BERHAD,140.0,AMBANK
AMBANK ISLAMIC BERHAD,AMBANK ISLAMIC BERHAD,19.0,AMBANK
BANK ISLAM MALAYSIA BERHAD,BANK ISLAM MALAYSIA BERHAD,33.0,BANK ISLAM
CIMB BANK BERHAD,CIMB BANK BERHAD,627.0,CIMB BANK
CIMB ISLAMIC BANK BERHAD,CIMB ISLAMIC BANK BERHAD,469.0,CIMB BANK
HONG LEONG BANK BERHAD,HONG LEONG BANK BERHAD,670.0,HONG LEONG BANK
HONG LEONG ISLAMIC BANK BERHAD,HONG LEONG ISLAMIC BANK BERHAD,163.0,HONG LEONG BANK
HSBC BANK MALAYSIA BERHAD,HSBC BANK MALAYSIA BERHAD,112.0,HSBC BANK
HSBC AMANAH MALAYSIA BERHAD,HSBC AMANAH MALAYSIA BERHAD,18.0,HSBC BANK
MALAYAN BANKING BERHAD,MALAYAN BANKING BERHAD,407.0,MAYBANK
MAYBANK ISLAMIC BERHAD,MAYBANK ISLAMIC BERHAD,363.0,MAYBANK
MAYBANK INVESTMENT BANK BERHAD,MAYBANK INVESTMENT BANK BERHAD,2.0,MAYBANK
OCBC BANK (MALAYSIA) BERHAD,OCBC BANK (MALAYSIA) BERHAD,215.0,OCBC BANK
OCBC AL-AMIN BANK BERHAD,OCBC AL-AMIN BANK BERHAD,13.0,OCBC BANK
PUBLIC BANK BERHAD,PUBLIC BANK BERHAD,1046.0,PUBLIC BANK
PUBLIC ISLAMIC BANK BERHAD,PUBLIC ISLAMIC BANK BERHAD,222.0,PUBLIC BANK
PUBLIC MUTUAL BERHAD,PUBLIC MUTUAL BERHAD,1.0,PUBLIC BANK
