Feature,Importance
derived_build_type_SHOP OFFICE,0.026165033451693055
group_derived_contact_city_KLANG,0.02335705597486589
group_derived_race_CHINESE,0.02004059211606406
group_derived_contact_city_SHAH ALAM,0.019405142498215015
derived_age_equal_category_33-39 AGE-GROUP,0.01781565750230709
derived_age_equal_category_39-46 AGE-GROUP,0.017742263496618355
derived_township_maturity_NEW,0.016881783960406543
derived_township_maturity_MATURED,0.016058992632270824
derived_township_maturity_DEVELOPING,0.015939493195230744
derived_build_type_TERRACED HOUSE,0.015848122619466016
derived_age_equal_category_46-213 AGE-GROUP,0.015726634065068038
group_derived_financier_name_CASH,0.01439362368976459
derived_occupation_status_UNKNOWN,0.014150114549974608
group_derived_financier_name_HONG LEONG BANK,0.014048537634730535
group_derived_financier_name_STANDARD CHARTERED,0.014040805865614323
group_derived_race_MALAY,0.013828294345302094
group_derived_contact_city_NOT APPLICABLE,0.013568228205735798
derived_occupation_status_KNOWN,0.013367506558596476
derived_age_equal_category_28-33 AGE-GROUP,0.013312616159387251
derived_marital_status_MARRIED,0.013311619032347795
derived_contact_lifestyle_registration_status_REGISTERED,0.013187216474371814
derived_contact_lifestyle_registration_status_NON-REGISTERED,0.013110658478860495
derived_marital_status_SINGLE,0.012922388308113476
group_derived_contact_city_KUALA LUMPUR,0.01279452261655957
derived_non_land_posted_total_loan_amount_category_220000-414400 (3),0.012239707361614869
derived_non_land_posted_total_loan_amount_category_414400-746656 (4),0.011240845493186885
group_derived_contact_salutation_MR,0.011022743855201833
derived_built_up_area_sqft_category_3269-3681 SQFT,0.010987084823833329
derived_non_land_posted_total_loan_amount_category_0-64914 (1),0.010970429969262972
derived_rebate_percentage_category_NO REBATE,0.010922013189123581
derived_age_equal_category_-1-28 AGE-GROUP,0.01083246995704202
group_derived_financier_name_OCBC BANK,0.010570193930876043
group_derived_financier_name_PUBLIC BANK,0.010494262574224223
derived_built_up_area_sqft_category_2224-2280 SQFT,0.010413292291909858
derived_non_land_posted_total_loan_amount_category_64914-220000 (2),0.010217955247922962
group_derived_race_INDIAN,0.010116814949688696
derived_gender_MALE,0.010079511146373172
derived_non_land_posted_spa_amount_category_577800-904680 (4),0.009731127208120674
derived_build_type_SEMI DETACHED HOUSE,0.009719715345081627
group_derived_contact_city_JOHOR BAHRU,0.009470848863931527
group_derived_financier_name_CIMB BANK,0.009380368389513769
derived_non_land_posted_spa_amount_category_322800-577800 (3),0.009359447080539485
group_derived_financier_name_MAYBANK,0.00928716582825217
group_derived_contact_salutation_MS,0.009089825361326439
group_derived_race_BUMIPUTRA,0.00893526983880638
derived_non_land_posted_list_price_category_326800-608800 (3),0.008522593264142874
group_derived_contact_city_PETALING JAYA,0.008515330555656331
derived_built_up_area_sqft_category_4864-184967 SQFT,0.008502320669351235
derived_non_land_posted_selling_price_category_598800-979800 (4),0.008448743379556206
derived_gender_FEMALE,0.008440165110197599
derived_non_land_posted_selling_price_category_325005-598800 (3),0.008280219804421821
group_derived_financier_name_OTHERS,0.00818537650022683
derived_non_land_posted_list_price_category_608800-992800 (4),0.008070745616763157
group_derived_race_NOT APPLICABLE,0.007832460881299918
derived_contact_staff_STAFF,0.007582389053339706
derived_completion_status_IN PROGRESS,0.0075391721475810865
derived_bumi_status_BUMI,0.007505901102737878
derived_completion_status_COMPLETED,0.007326064118971077
derived_built_up_area_sqft_category_1001-1776 SQFT,0.007325718035300246
group_derived_financier_name_UOB BANK,0.007155763110236076
derived_built_up_area_sqft_category_3681-4864 SQFT,0.007104466391009307
derived_rebate_percentage_category_> 10% REBATE,0.007084831643307727
group_derived_contact_city_KAJANG,0.006854328352248595
derived_built_up_area_sqft_category_2564-2792 SQFT,0.0066882951900989205
derived_bumi_status_NON-BUMI,0.006639452268431343
derived_non_land_posted_total_loan_amount_category_746656-99720000 (5),0.006624433598091223
group_derived_financier_name_HSBC BANK,0.0065149502592522735
derived_build_type_CONDOMINIUM,0.00643398899894812
derived_built_up_area_sqft_category_2792-3269 SQFT,0.006392957107458148
group_derived_race_OTHERS,0.0059711901139354725
derived_contact_staff_NOT STAFF,0.005955971263993673
derived_non_land_posted_spa_amount_category_904680-147461000 (5),0.005951123719810946
derived_built_up_area_sqft_category_215-286 SQFT,0.005925036150076691
derived_non_land_posted_selling_price_category_199800-325005 (2),0.005861544843442648
derived_built_up_area_sqft_category_2343-2564 SQFT,0.005829118740703857
derived_non_land_posted_list_price_category_200000-326800 (2),0.005526682701536651
derived_contact_identification_type_NRIC NO.,0.0054834925508950175
derived_built_up_area_sqft_category_2002-2224 SQFT,0.005400689526719135
derived_non_land_posted_selling_price_category_979800-147461000 (5),0.005373004995625264
derived_non_land_posted_list_price_category_992800-137461000 (5),0.005315596781494942
derived_non_land_posted_spa_amount_category_199800-322800 (2),0.005282147040428256
derived_built_up_area_sqft_category_286-699 SQFT,0.0051596325716389635
derived_build_type_BUNGALOW,0.004935704348485675
derived_rebate_percentage_category_< 10% REBATE,0.00469273234712076
group_derived_financier_name_RHB BANK,0.004688242375494584
derived_built_up_area_sqft_category_699-861 SQFT,0.004654830132612519
derived_build_type_AFFORDABLE HOMES,0.004591151723954776
derived_non_land_posted_spa_amount_category_0-199800 (1),0.004575242254069898
derived_build_type_BUNGALOW LOT,0.004549735917227689
derived_built_up_area_sqft_category_1776-2002 SQFT,0.004523505289407651
group_derived_nationality_MALAYSIA,0.004438409258783723
derived_non_land_posted_selling_price_category_15000-199800 (1),0.004331373497892767
derived_non_land_posted_list_price_category_1-200000 (1),0.004316777812699494
derived_build_type_SERVICE APARTMENT,0.004160012870520515
derived_built_up_area_sqft_category_861-912 SQFT,0.00394079396558368
group_derived_contact_city_SUBANG JAYA,0.0038303800971192813
derived_contact_identification_type_PASSPORT,0.003443294627662227
derived_contact_identification_type_REG NO.,0.003355903678239865
group_derived_contact_city_PUCHONG,0.003263684799289294
derived_build_type_CLUSTER HOUSE,0.003244065230809003
derived_build_type_FACTORY LOT,0.003111778690310355
derived_contact_purchaser_type_INDIVIDUAL,0.003027641590824406
group_derived_contact_city_RAWANG,0.0030027158838451563
derived_contact_purchaser_type_CORPORATE,0.002982043345284005
group_derived_financier_name_AMBANK,0.002898634454062654
derived_gender_NOT APPLICABLE,0.0026900973510931713
group_derived_nationality_SINGAPORE,0.0025976834337879356
derived_marital_status_NOT APPLICABLE,0.002594175280604703
group_derived_contact_city_AMPANG,0.002480763197568921
group_derived_financier_name_ALLIANCE BANK,0.0023786963108832146
group_derived_contact_city_SINGAPORE,0.0023126181828971365
derived_built_up_area_sqft_category_2280-2343 SQFT,0.0022661756857699756
group_derived_contact_city_SERDANG,0.0022140300110911173
group_derived_contact_annual_income_NOT APPLICABLE,0.002188500601796228
group_derived_contact_city_SABAH,0.0021206068121462614
group_derived_contact_salutation_DATO,0.0021012631273672243
derived_contact_lifestyle_registration_status_NOT APPLICABLE,0.002053335685474238
derived_build_type_INDUSTRIAL LAND,0.002009645514225568
derived_build_type_TOWNHOUSE,0.0019874972807286595
group_derived_contact_city_N. SEMBILAN,0.0017319561218686282
