Feature,Importance
derived_phase_property_type_HIGH RISE,5.038681710265458
derived_contact_lifestyle_registration_status_REGISTERED,3.442806755941691
derived_contact_lifestyle_registration_status_NON-REGISTERED,2.8503431520226203
derived_township_maturity_NEW,2.736721080636751
derived_occupation_status_UNKNOWN,2.6459806053270203
derived_township_maturity_MATURED,2.4912412480854162
derived_occupation_status_KNOWN,2.292474298160328
derived_age_equal_category_39-46 AGE-GROUP,1.9839001074937497
derived_non_land_posted_total_loan_amount_category_745064-99720000 (5),1.967491957420205
derived_built_up_area_sqft_category_4864-184967 SQFT,1.9482702405619319
derived_age_equal_category_46-213 AGE-GROUP,1.7579629620814223
group_derived_financier_name_CASH,1.612925709337937
derived_built_up_area_sqft_category_2224-2280 SQFT,1.572228261592521
derived_phase_property_type_LANDED,1.5193850138515756
derived_age_equal_category_-1-28 AGE-GROUP,1.4721210581114366
group_derived_financier_name_OTHERS,1.4690288271795766
derived_non_land_posted_total_loan_amount_category_412895-745064 (4),1.4502337360492004
derived_contact_staff_STAFF,1.3449979629652045
derived_build_type_SEMI DETACHED HOUSE,1.300517701373546
derived_township_maturity_DEVELOPING,1.296358801994797
group_derived_race_CHINESE,1.2875468842337803
derived_non_land_posted_total_loan_amount_category_218520-412895 (3),1.2722586285180209
group_derived_race_MALAY,1.2611601813124373
group_derived_contact_salutation_MR,1.2531175942791042
group_derived_race_BUMIPUTRA,1.2468076316487093
derived_build_type_BUNGALOW,1.2264962741954961
derived_age_equal_category_33-39 AGE-GROUP,1.213689605000864
derived_rebate_percentage_category_NO REBATE,1.161064734515684
group_derived_contact_city_KLANG,1.1560867162724344
derived_non_land_posted_spa_amount_category_905349-147461000 (5),1.1474928451999504
derived_age_equal_category_28-33 AGE-GROUP,1.137667148951871
derived_non_land_posted_total_loan_amount_category_0-63000 (1),1.1037307144508572
derived_built_up_area_sqft_category_3271-3681 SQFT,1.0950846187589303
group_derived_financier_name_HSBC BANK,1.0868410705947984
derived_build_type_SHOP OFFICE,1.0580995318046664
derived_non_land_posted_spa_amount_category_323377-577800 (3),1.0509129281811869
derived_marital_status_MARRIED,1.048947792506411
group_derived_contact_city_JOHOR BAHRU,1.0137718988560682
group_derived_contact_city_SHAH ALAM,0.996552994549281
derived_built_up_area_sqft_category_2002-2224 SQFT,0.9677078529432774
group_derived_financier_name_OCBC BANK,0.9439096251207728
derived_marital_status_SINGLE,0.9216664493119113
group_derived_contact_city_NOT APPLICABLE,0.8949158684963423
derived_phase_property_type_COMMERCIAL,0.8935782398092674
group_derived_financier_name_STANDARD CHARTERED,0.8507045861159923
derived_bumi_status_NON-BUMI,0.8489042310931423
group_derived_race_INDIAN,0.8389610314505532
derived_non_land_posted_list_price_category_200000-326800 (2),0.8321054843956401
derived_built_up_area_sqft_category_3681-4864 SQFT,0.8228533268980337
derived_non_land_posted_selling_price_category_325536-599663 (3),0.7912017041651165
group_derived_contact_salutation_MS,0.7877490346347434
derived_non_land_posted_list_price_category_1-200000 (1),0.7686050357410149
group_derived_financier_name_HONG LEONG BANK,0.7646496057807444
derived_non_land_posted_list_price_category_326800-608800 (3),0.717379363573253
derived_non_land_posted_spa_amount_category_577800-905349 (4),0.6804190183048785
derived_non_land_posted_list_price_category_992800-137461000 (5),0.6447121907110642
derived_non_land_posted_selling_price_category_599663-980608 (4),0.6446361353797183
derived_completion_status_COMPLETED,0.6432374166417071
derived_built_up_area_sqft_category_1001-1776 SQFT,0.6355966710672262
derived_non_land_posted_selling_price_category_980608-147461000 (5),0.6177474256383259
derived_gender_FEMALE,0.6169242938580084
derived_contact_staff_NOT STAFF,0.6136272924218881
derived_completion_status_IN PROGRESS,0.6105027285636966
derived_bumi_status_BUMI,0.5939118492285688
group_derived_race_NOT APPLICABLE,0.5738255028595278
group_derived_contact_city_KUALA LUMPUR,0.5628185240968104
derived_gender_MALE,0.5464856420324117
derived_non_land_posted_total_loan_amount_category_63000-218520 (2),0.5439460259286317
derived_non_land_posted_spa_amount_category_199800-323377 (2),0.5275193582761751
derived_build_type_TERRACED HOUSE,0.515334167158807
derived_non_land_posted_list_price_category_608800-992800 (4),0.5117620736088719
group_derived_financier_name_PUBLIC BANK,0.47693523156065554
derived_build_type_BUNGALOW LOT,0.4747717118404001
group_derived_financier_name_UOB BANK,0.4721272921388281
derived_built_up_area_sqft_category_2354-2564 SQFT,0.4695994738984163
group_derived_financier_name_CIMB BANK,0.4673571017659792
derived_non_land_posted_selling_price_category_199800-325536 (2),0.41093500051801846
derived_built_up_area_sqft_category_2792-3271 SQFT,0.39596056898025067
derived_built_up_area_sqft_category_215-286 SQFT,0.3682209947627763
derived_phase_property_type_RSKU,0.3571505822672859
group_derived_contact_city_SERDANG,0.3522307706186312
group_derived_financier_name_ALLIANCE BANK,0.3521804952655418
derived_build_type_AFFORDABLE HOMES,0.3493440322710621
derived_build_type_SERVICE APARTMENT,0.34555778771311085
group_derived_contact_annual_income_RM50001 - RM100000,0.3371721451286751
group_derived_contact_city_KAJANG,0.3201735058978937
group_derived_race_OTHERS,0.31686912771947845
derived_non_land_posted_spa_amount_category_0-199800 (1),0.3146140788422149
derived_rebate_percentage_category_> 10% REBATE,0.3135223436949712
derived_built_up_area_sqft_category_699-861 SQFT,0.2800696386241995
group_derived_financier_name_MAYBANK,0.2543090877775877
derived_non_land_posted_selling_price_category_15000-199800 (1),0.2448778836382889
group_derived_nationality_OTHERS,0.24078269662264198
group_derived_contact_city_SUNGAI BULOH,0.23500242760149773
group_derived_contact_city_SABAH,0.21979993539676274
group_derived_race_FOREIGNER,0.21251871228027938
group_derived_contact_city_JOHOR,0.2094530343448664
group_derived_contact_salutation_NOT APPLICABLE,0.2074200104949695
derived_contact_identification_type_NRIC NO.,0.19802533422098842
derived_built_up_area_sqft_category_286-699 SQFT,0.1946750300199512
group_derived_nationality_MALAYSIA,0.18281075019526394
group_derived_contact_city_PUCHONG,0.17985938268635265
group_derived_financier_name_RHB BANK,0.17900771840438118
group_derived_nationality_CHINA,0.17731957284505465
group_derived_contact_city_OTHER,0.1718871294348388
derived_build_type_CONDOMINIUM,0.15299370239612722
