Feature,Importance
derived_contact_lifestyle_registration_status_NON-REGISTERED,3.879399763223981
derived_phase_property_type_HIGH RISE,3.3986926258540495
derived_occupation_status_UNKNOWN,3.082673335275515
derived_township_maturity_MATURED,2.9877730544168273
derived_township_maturity_NEW,2.929439385769222
derived_occupation_status_KNOWN,2.614886447996303
derived_contact_lifestyle_registration_status_REGISTERED,2.5019169280420153
derived_age_equal_category_39-46 AGE-GROUP,2.17295285164643
derived_built_up_area_sqft_category_4868-184967 SQFT,1.9097386796194715
derived_marital_status_SINGLE,1.8507603262891357
derived_built_up_area_sqft_category_2254-2280 SQFT,1.8378287359349916
group_derived_financier_name_CASH,1.7130296755832386
derived_township_maturity_DEVELOPING,1.6404360427406168
derived_build_type_SEMI DETACHED HOUSE,1.5599805744464892
derived_non_land_posted_total_loan_amount_category_208800-396716 (3),1.5466819324857914
derived_phase_property_type_LANDED,1.5026245301012546
group_derived_contact_city_SHAH ALAM,1.4544618173806627
group_derived_financier_name_STANDARD CHARTERED,1.4147979044714858
derived_age_equal_category_46-213 AGE-GROUP,1.2859239783380298
derived_built_up_area_sqft_category_699-882 SQFT,1.2769239228876725
derived_build_type_SHOP OFFICE,1.21932165808275
derived_built_up_area_sqft_category_3283-3683 SQFT,1.183026638398609
group_derived_financier_name_OCBC BANK,1.1809921684389997
derived_build_type_BUNGALOW,1.1709061312691282
group_derived_contact_salutation_MS,1.1698610626493102
derived_non_land_posted_total_loan_amount_category_705420-99720000 (5),1.1549331969998002
derived_non_land_posted_selling_price_category_298960-569800 (3),1.148039119214816
derived_contact_staff_STAFF,1.137080031836077
group_derived_race_BUMIPUTRA,1.127706653447917
group_derived_financier_name_HSBC BANK,1.1233025026307017
group_derived_contact_salutation_MR,1.0934023160778812
group_derived_contact_city_KAJANG,1.074992147959746
derived_non_land_posted_total_loan_amount_category_396716-705420 (4),1.0652611430860304
derived_non_land_posted_spa_amount_category_298800-556739 (3),1.0253840920067174
derived_bumi_status_BUMI,1.0251318887452443
group_derived_financier_name_HONG LEONG BANK,0.9735002645243485
derived_marital_status_MARRIED,0.9288461588163962
group_derived_contact_city_NOT APPLICABLE,0.9281147676786059
derived_non_land_posted_selling_price_category_935637-147461000 (5),0.923297206867638
group_derived_race_CHINESE,0.9162727722632991
