Feature,Importance
derived_contact_lifestyle_registration_status_NON-REGISTERED,4.860421351071651
derived_contact_lifestyle_registration_status_REGISTERED,3.7489165840109986
derived_contact_staff_STAFF,2.999706112133194
derived_occupation_status_UNKNOWN,2.3781739660729593
derived_age_equal_category_-1-28 AGE-GROUP,2.356117978449912
group_derived_contact_city_KLANG,2.3513472177165142
derived_township_maturity_MATURED,2.2527541319598785
derived_occupation_status_KNOWN,2.1850398613570112
derived_contact_staff_NOT STAFF,1.7698337153370727
derived_age_equal_category_46-213 AGE-GROUP,1.746738495952743
derived_township_maturity_DEVELOPING,1.5633954362018394
group_derived_contact_salutation_MS,1.5297708876165859
derived_non_land_posted_total_loan_amount_category_396716-705420 (4),1.4686474201762292
derived_bumi_status_BUMI,1.4478334849804153
derived_age_equal_category_33-39 AGE-GROUP,1.3917025140940988
derived_age_equal_category_28-33 AGE-GROUP,1.3674824459288444
group_derived_financier_name_PUBLIC BANK,1.3534213776439115
derived_completion_status_COMPLETED,1.348103473976404
derived_build_type_SEMI DETACHED HOUSE,1.2880141756338288
derived_phase_property_type_HIGH RISE,1.2725283489035273
group_derived_financier_name_STANDARD CHARTERED,1.259241396613135
group_derived_financier_name_MAYBANK,1.2447283243066805
group_derived_race_CHINESE,1.2365922998165986
group_derived_nationality_MALAYSIA,1.2320390666911925
derived_gender_FEMALE,1.2296871664655382
derived_built_up_area_sqft_category_2809-3283 SQFT,1.2080439630400512
derived_age_equal_category_39-46 AGE-GROUP,1.1892806408250038
derived_marital_status_SINGLE,1.1470542408986208
derived_non_land_posted_total_loan_amount_category_0-58408 (1),1.1311999435516258
group_derived_race_MALAY,1.0988006794090546
derived_township_maturity_NEW,1.0433975217449984
derived_contact_identification_type_PASSPORT,1.0413727090663838
derived_completion_status_IN PROGRESS,1.0337443801210449
derived_built_up_area_sqft_category_2342-2564 SQFT,1.0302631226853123
group_derived_financier_name_OTHERS,1.0146582746841326
derived_phase_property_type_RSKU,1.010017591521403
derived_build_type_BUNGALOW,0.9918796532301134
derived_build_type_CLUSTER HOUSE,0.9836225218962905
derived_built_up_area_sqft_category_699-882 SQFT,0.9791211154088503
group_derived_contact_city_SHAH ALAM,0.9752534209291857
derived_phase_property_type_LANDED,0.9727634786172268
group_derived_contact_city_NOT APPLICABLE,0.9646015281866595
derived_non_land_posted_list_price_category_577800-947760 (4),0.9452515086410658
group_derived_financier_name_CASH,0.906634065593553
derived_gender_MALE,0.8966363282952114
group_derived_contact_salutation_MR,0.8778951901781676
derived_non_land_posted_spa_amount_category_875316-147461000 (5),0.8575833186359241
derived_non_land_posted_selling_price_category_569800-935637 (4),0.8362597442114614
group_derived_race_INDIAN,0.8248523866212041
group_derived_financier_name_RHB BANK,0.8185454541005867
derived_non_land_posted_total_loan_amount_category_208800-396716 (3),0.8006416980027727
derived_marital_status_MARRIED,0.7970563438396108
